datetime_kst	action	filename	slug	value_text	counter_after	reason
2026-09-16 17:52:39	APPROVE	001_gangnam-gaepo-hyundai-2025.html	gangnam-gaepo-hyundai-2025	40억 5,000만원	1	-
2026-09-18 09:23:21	APPROVE	002_songpa-munjeong-olympicfamily-sangsok-2025.html	songpa-munjeong-olympicfamily-sangsok-2025	24억 9,000만원	2	-
2026-09-23 10:23:03	APPROVE	003_songpa-bangi-olympicseonsu-sangsok-2025.html	songpa-bangi-olympicseonsu-sangsok-2025	29억 7,000만원	3	-
2026-09-23 10:23:03	APPROVE	004_gangnam-dogok-woosung-sangsok-2025.html	gangnam-dogok-woosung-sangsok-2025	18억 7,000만원	4	-
2026-09-23 10:23:03	APPROVE	005_gangdong-godeok-grasium-sangsok-2025.html	gangdong-godeok-grasium-sangsok-2025	17억원	5	-
